#Index            X            Y            Z         Mass
     1  1.01087E+00 -1.98635E-01  0.00000E+00  1.00000E+00
     2 -9.17095E-01  2.84418E-01  0.00000E+00  1.00000E+00
     3 -9.37867E-02 -8.57829E-02  0.00000E+00  1.00000E+00
     1  1.04116E+00 -1.52683E-01  0.00000E+00  1.00000E+00
     2 -8.50553E-01  3.19998E-01  0.00000E+00  1.00000E+00
     3 -1.90625E-01 -1.67315E-01  0.00000E+00  1.00000E+00
     1  1.06228E+00 -1.06133E-01  0.00000E+00  1.00000E+00
     2 -7.69637E-01  3.46028E-01  0.00000E+00  1.00000E+00
     3 -2.92667E-01 -2.39895E-01  0.00000E+00  1.00000E+00
     1  1.07527E+00 -5.94177E-02  0.00000E+00  1.00000E+00
     2 -6.75140E-01  3.57804E-01  0.00000E+00  1.00000E+00
     3 -4.00163E-01 -2.98386E-01  0.00000E+00  1.00000E+00
     1  1.08080E+00 -1.26908E-02  0.00000E+00  1.00000E+00
     2 -5.70202E-01  3.50815E-01  0.00000E+00  1.00000E+00
     3 -5.10647E-01 -3.38124E-01  0.00000E+00  1.00000E+00
     1  1.07918E+00  3.40314E-02  0.00000E+00  1.00000E+00
     2 -4.60088E-01  3.22537E-01  0.00000E+00  1.00000E+00
     3 -6.19145E-01 -3.56568E-01  0.00000E+00  1.00000E+00
     1  1.07031E+00  8.07606E-02  0.00000E+00  1.00000E+00
     2 -3.50493E-01  2.73755E-01  0.00000E+00  1.00000E+00
     3 -7.19875E-01 -3.54516E-01  0.00000E+00  1.00000E+00
     1  1.05372E+00  1.27432E-01  0.00000E+00  1.00000E+00
     2 -2.45370E-01  2.08195E-01  0.00000E+00  1.00000E+00
     3 -8.08420E-01 -3.35628E-01  0.00000E+00  1.00000E+00
     1  1.02857E+00  1.73786E-01  0.00000E+00  1.00000E+00
     2 -1.45887E-01  1.30914E-01  0.00000E+00  1.00000E+00
     3 -8.82767E-01 -3.04700E-01  0.00000E+00  1.00000E+00
     1  9.93668E-01  2.19202E-01  0.00000E+00  1.00000E+00
     2 -5.07978E-02  4.68995E-02  0.00000E+00  1.00000E+00
     3 -9.42960E-01 -2.66102E-01  0.00000E+00  1.00000E+00
     1  9.47515E-01  2.62486E-01  0.00000E+00  1.00000E+00
     2  4.25783E-02 -3.93913E-02  0.00000E+00  1.00000E+00
     3 -9.90192E-01 -2.23094E-01  0.00000E+00  1.00000E+00
     1  8.88531E-01  3.01588E-01  0.00000E+00  1.00000E+00
     2  1.37399E-01 -1.23775E-01  0.00000E+00  1.00000E+00
     3 -1.02604E+00 -1.77813E-01  0.00000E+00  1.00000E+00
     1  8.15465E-01  3.33352E-01  0.00000E+00  1.00000E+00
     2  2.36423E-01 -2.01835E-01  0.00000E+00  1.00000E+00
     3 -1.05200E+00 -1.31517E-01  0.00000E+00  1.00000E+00
     1  7.28137E-01  3.53492E-01  0.00000E+00  1.00000E+00
     2  3.41061E-01 -2.68627E-01  0.00000E+00  1.00000E+00
     3 -1.06932E+00 -8.48655E-02  0.00000E+00  1.00000E+00
     1  6.28349E-01  3.57200E-01  0.00000E+00  1.00000E+00
     2  4.50388E-01 -3.19056E-01  0.00000E+00  1.00000E+00
     3 -1.07887E+00 -3.81435E-02  0.00000E+00  1.00000E+00
     1  5.20328E-01  3.40639E-01  0.00000E+00  1.00000E+00
     2  5.60676E-01 -3.49212E-01  0.00000E+00  1.00000E+00
     3 -1.08115E+00  8.57271E-03  0.00000E+00  1.00000E+00
     1  4.09813E-01  3.02718E-01  0.00000E+00  1.00000E+00
     2  6.66305E-01 -3.58010E-01  0.00000E+00  1.00000E+00
     3 -1.07627E+00  5.52923E-02  0.00000E+00  1.00000E+00
     1  3.01935E-01  2.45712E-01  0.00000E+00  1.00000E+00
     2  7.61885E-01 -3.47717E-01  0.00000E+00  1.00000E+00
     3 -1.06398E+00  1.02006E-01  0.00000E+00  1.00000E+00
     1  1.99410E-01  1.74169E-01  0.00000E+00  1.00000E+00
     2  8.44063E-01 -3.22745E-01  0.00000E+00  1.00000E+00
     3 -1.04364E+00  1.48576E-01  0.00000E+00  1.00000E+00
     1  1.02206E-01  9.32336E-02  0.00000E+00  1.00000E+00
     2  9.11862E-01 -2.87837E-01  0.00000E+00  1.00000E+00
     3 -1.01425E+00  1.94603E-01  0.00000E+00  1.00000E+00
     1  8.29588E-03  7.65472E-03  0.00000E+00  1.00000E+00
     2  9.65961E-01 -2.46891E-01  0.00000E+00  1.00000E+00
     3 -9.74446E-01  2.39237E-01  0.00000E+00  1.00000E+00
     1 -8.53257E-02 -7.82947E-02  0.00000E+00  1.00000E+00
     2  1.00780E+00 -2.02636E-01  0.00000E+00  1.00000E+00
     3 -9.22674E-01  2.80931E-01  0.00000E+00  1.00000E+00
     1 -1.81742E-01 -1.60389E-01  0.00000E+00  1.00000E+00
     2  1.03897E+00 -1.56772E-01  0.00000E+00  1.00000E+00
     3 -8.57432E-01  3.17161E-01  0.00000E+00  1.00000E+00
     1 -2.83226E-01 -2.33985E-01  0.00000E+00  1.00000E+00
     2  1.06085E+00 -1.10253E-01  0.00000E+00  1.00000E+00
     3 -7.77845E-01  3.44237E-01  0.00000E+00  1.00000E+00
     1 -3.90238E-01 -2.93970E-01  0.00000E+00  1.00000E+00
     2  1.07454E+00 -6.35443E-02  0.00000E+00  1.00000E+00
     3 -6.84526E-01  3.57514E-01  0.00000E+00  1.00000E+00
     1 -5.00577E-01 -3.35581E-01  0.00000E+00  1.00000E+00
     2  1.08073E+00 -1.68190E-02  0.00000E+00  1.00000E+00
     3 -5.80383E-01  3.52400E-01  0.00000E+00  1.00000E+00
     1 -6.09458E-01 -3.56019E-01  0.00000E+00  1.00000E+00
     2  1.07974E+00  2.98992E-02  0.00000E+00  1.00000E+00
     3 -4.70528E-01  3.26120E-01  0.00000E+00  1.00000E+00
     1 -7.11088E-01 -3.55762E-01  0.00000E+00  1.00000E+00
     2  1.07154E+00  7.66236E-02  0.00000E+00  1.00000E+00
     3 -3.60703E-01  2.79138E-01  0.00000E+00  1.00000E+00
     1 -8.00857E-01 -3.38261E-01  0.00000E+00  1.00000E+00
     2  1.05568E+00  1.23302E-01  0.00000E+00  1.00000E+00
