        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3 
        0.10  1.0109E+00 -1.9863E-01  0.0000E+00 -9.1710E-01  2.8442E-01  0.0000E+00 -9.3787E-02 -8.5783E-02  0.0000E+00
        0.20  1.0412E+00 -1.5268E-01  0.0000E+00 -8.5055E-01  3.2000E-01  0.0000E+00 -1.9062E-01 -1.6731E-01  0.0000E+00
        0.30  1.0623E+00 -1.0613E-01  0.0000E+00 -7.6964E-01  3.4603E-01  0.0000E+00 -2.9267E-01 -2.3989E-01  0.0000E+00
        0.40  1.0753E+00 -5.9418E-02  0.0000E+00 -6.7514E-01  3.5780E-01  0.0000E+00 -4.0016E-01 -2.9839E-01  0.0000E+00
        0.50  1.0808E+00 -1.2691E-02  0.0000E+00 -5.7020E-01  3.5081E-01  0.0000E+00 -5.1065E-01 -3.3812E-01  0.0000E+00
        0.60  1.0792E+00  3.4031E-02  0.0000E+00 -4.6009E-01  3.2254E-01  0.0000E+00 -6.1915E-01 -3.5657E-01  0.0000E+00
        0.70  1.0703E+00  8.0760E-02  0.0000E+00 -3.5049E-01  2.7375E-01  0.0000E+00 -7.1988E-01 -3.5451E-01  0.0000E+00
        0.80  1.0537E+00  1.2743E-01  0.0000E+00 -2.4537E-01  2.0819E-01  0.0000E+00 -8.0842E-01 -3.3563E-01  0.0000E+00
        0.90  1.0286E+00  1.7379E-01  0.0000E+00 -1.4589E-01  1.3091E-01  0.0000E+00 -8.8277E-01 -3.0470E-01  0.0000E+00
        1.00  9.9367E-01  2.1920E-01  0.0000E+00 -5.0798E-02  4.6899E-02  0.0000E+00 -9.4296E-01 -2.6610E-01  0.0000E+00
        1.10  9.4752E-01  2.6249E-01  0.0000E+00  4.2578E-02 -3.9392E-02  0.0000E+00 -9.9019E-01 -2.2309E-01  0.0000E+00
        1.20  8.8853E-01  3.0159E-01  0.0000E+00  1.3740E-01 -1.2378E-01  0.0000E+00 -1.0260E+00 -1.7781E-01  0.0000E+00
        1.30  8.1547E-01  3.3335E-01  0.0000E+00  2.3642E-01 -2.0184E-01  0.0000E+00 -1.0520E+00 -1.3152E-01  0.0000E+00
        1.40  7.2814E-01  3.5349E-01  0.0000E+00  3.4106E-01 -2.6863E-01  0.0000E+00 -1.0693E+00 -8.4864E-02  0.0000E+00
        1.50  6.2835E-01  3.5720E-01  0.0000E+00  4.5039E-01 -3.1906E-01  0.0000E+00 -1.0789E+00 -3.8142E-02  0.0000E+00
        1.60  5.2033E-01  3.4064E-01  0.0000E+00  5.6067E-01 -3.4921E-01  0.0000E+00 -1.0811E+00  8.5746E-03  0.0000E+00
        1.70  4.0981E-01  3.0272E-01  0.0000E+00  6.6630E-01 -3.5801E-01  0.0000E+00 -1.0763E+00  5.5294E-02  0.0000E+00
        1.80  3.0194E-01  2.4571E-01  0.0000E+00  7.6188E-01 -3.4772E-01  0.0000E+00 -1.0640E+00  1.0201E-01  0.0000E+00
        1.90  1.9941E-01  1.7417E-01  0.0000E+00  8.4406E-01 -3.2275E-01  0.0000E+00 -1.0436E+00  1.4858E-01  0.0000E+00
        2.00  1.0221E-01  9.3235E-02  0.0000E+00  9.1186E-01 -2.8784E-01  0.0000E+00 -1.0142E+00  1.9461E-01  0.0000E+00
        2.10  8.2960E-03  7.6564E-03  0.0000E+00  9.6596E-01 -2.4690E-01  0.0000E+00 -9.7444E-01  2.3924E-01  0.0000E+00
        2.20 -8.5326E-02 -7.8293E-02  0.0000E+00  1.0078E+00 -2.0264E-01  0.0000E+00 -9.2267E-01  2.8093E-01  0.0000E+00
        2.30 -1.8174E-01 -1.6039E-01  0.0000E+00  1.0390E+00 -1.5678E-01  0.0000E+00 -8.5743E-01  3.1716E-01  0.0000E+00
        2.40 -2.8323E-01 -2.3398E-01  0.0000E+00  1.0609E+00 -1.1026E-01  0.0000E+00 -7.7784E-01  3.4424E-01  0.0000E+00
        2.50 -3.9024E-01 -2.9397E-01  0.0000E+00  1.0745E+00 -6.3549E-02  0.0000E+00 -6.8452E-01  3.5752E-01  0.0000E+00
        2.60 -5.0058E-01 -3.3558E-01  0.0000E+00  1.0807E+00 -1.6823E-02  0.0000E+00 -5.8038E-01  3.5240E-01  0.0000E+00
        2.70 -6.0946E-01 -3.5602E-01  0.0000E+00  1.0797E+00  2.9895E-02  0.0000E+00 -4.7053E-01  3.2612E-01  0.0000E+00
        2.80 -7.1109E-01 -3.5576E-01  0.0000E+00  1.0715E+00  7.6619E-02  0.0000E+00 -3.6070E-01  2.7914E-01  0.0000E+00
        2.90 -8.0086E-01 -3.3826E-01  0.0000E+00  1.0557E+00  1.2330E-01  0.0000E+00 -2.5508E-01  2.1496E-01  0.0000E+00
        3.00 -8.7653E-01 -3.0827E-01  0.0000E+00  1.0314E+00  1.6969E-01  0.0000E+00 -1.5510E-01  1.3858E-01  0.0000E+00
        3.10 -9.3799E-01 -2.7025E-01  0.0000E+00  9.9742E-01  2.1523E-01  0.0000E+00 -5.9708E-02  5.5018E-02  0.0000E+00
        3.20 -9.8635E-01 -2.2755E-01  0.0000E+00  9.5237E-01  2.5877E-01  0.0000E+00  3.3692E-02 -3.1219E-02  0.0000E+00
